model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,alternative,observed,p,p_bh,significant_bh,p_by,significant_by,observable
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,two-sided,0.6470489975664206,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,two-sided,0.5989022720357196,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,two-sided,0.9923360924023794,0.9929503524823758,0.9929503524823758,False,1.0,False,h0_total_persistence__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,two-sided,1.0369572664347753,0.7176641167941603,0.9069832222674581,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.9533695182726772,0.6284685765711714,0.8600096310973925,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,two-sided,1.0973696357833203,0.4510774461276936,0.7330008499575021,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,two-sided,0.7765509164291258,0.20858957052147392,0.3873806309684516,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.9673163795988137,0.6267686615669217,0.8600096310973925,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,two-sided,0.9978657741910648,0.951752412379381,0.9898225088745563,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,two-sided,1.0095173145946588,0.9459527023648817,0.9898225088745563,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.7241195704694432,0.20088995550222488,0.3873806309684516,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,two-sided,0.9995588653671498,0.9391530423478827,0.9898225088745563,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,two-sided,1.1449475722575033,0.44757762111894406,0.7330008499575021,False,1.0,False,h0_total_persistence__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.04885299742139116,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.7632109783036839,0.1973901304934753,0.3873806309684516,False,1.0,False,h0_total_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,two-sided,0.3579908900749746,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.6557174976969783,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,two-sided,0.9851639919651398,0.8941552922353883,0.9898225088745563,False,1.0,False,h0_total_persistence__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,two-sided,1.0433648884527726,0.6031698415079246,0.8600096310973925,False,1.0,False,h0_total_persistence__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,two-sided,0.6132665626368219,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.5737041307461339,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,two-sided,0.033519977701132235,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,two-sided,1.0343513072192758,0.7325633718314084,0.9069832222674581,False,1.0,False,h0_total_persistence__ratio
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,two-sided,0.7102102490180631,0.10219489025548723,0.2415515587856971,False,0.9310410906660684,False,h0_total_persistence__ratio
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,two-sided,0.6076736255007084,9.99950002499875e-05,0.0002599870006499675,True,0.0010020990212648486,True,h0_total_persistence__ratio
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,less,2.6241193930733777,1.0,1.0,False,1.0,False,lid__ratio
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,less,1.8237706229272932,1.0,1.0,False,1.0,False,lid__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,less,0.9705563263960872,0.4217289135543223,1.0,False,1.0,False,lid__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,less,1.0016786381546667,0.664016799160042,1.0,False,1.0,False,lid__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,less,0.9976138985795316,0.6001699915004249,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,less,0.9795890461869722,0.6052197390130494,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,less,1.2250547390243012,0.8021098945052747,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,less,1.4848395914552008,1.0,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,less,1.2374337990819435,0.8994050297485126,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,less,1.8615285434862898,1.0,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,less,1.0098774227362404,0.6753662316884156,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,less,1.2319185403687307,0.8003599820009,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,less,0.9952682417171357,0.5939703014849258,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,less,0.9203532319374531,0.3766811659417029,1.0,False,1.0,False,lid__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,less,0.9493500384298796,0.3243837808109595,1.0,False,1.0,False,lid__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,less,1.1736665590228426,0.7960101994900255,1.0,False,1.0,False,lid__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,less,0.5439257389740173,4.999750012499375e-05,0.0012999350032498374,True,0.005010495106324243,True,lid__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,less,1.0453785655329542,0.7235638218089095,1.0,False,1.0,False,lid__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,less,1.0141140209081059,0.5449727513624318,1.0,False,1.0,False,lid__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,less,1.2976518053694661,0.9497525123743813,1.0,False,1.0,False,lid__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,less,1.3993139252972766,1.0,1.0,False,1.0,False,lid__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,less,1.0640283567917936,0.7334633268336583,1.0,False,1.0,False,lid__ratio
