run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,0,operands,2,20.016320013235912,300.0,0.0,0.10500793566264709,0.0,0.05185773707651833
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,0,3.2703340952670277,300.0,0.0,0.07152829094489174,0.0,0.04807527511897648
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,1,3.2703340952670277,300.0,0.0,0.06873494127293268,0.0,0.04882379288045634
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,1,hook_hidden,2,3.2703340952670277,300.0,0.0,0.059834616915089435,1.0,0.055397932758145814
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,0,1.3125024777321155,300.0,0.0,0.08502174403295638,0.0,0.05416053810920658
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,1,1.3563225361371998,300.0,0.0,0.08179558953904915,0.0,0.05673773070157908
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,8,2,logits,2,1.3563225361371998,300.0,0.0,0.07565243164788908,0.0,0.06578390253249959
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,0,operands,0,18.287304938418888,300.0,0.0,0.10675519396328245,0.0,0.06075513852327314
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,0,operands,1,18.287304938418888,300.0,0.0,0.0911244681595248,0.0,0.06181432150669223
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,0,operands,2,18.287304938418888,300.0,0.0,0.11017469064754788,0.0,0.059327884172976235
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,1,hook_hidden,0,2.869311804485564,300.0,0.0,0.06923874768049423,0.0,0.04445722093329008
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,1,hook_hidden,1,2.9242788610039665,300.0,0.0,0.05847010678829197,0.0,0.03966685885265817
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,1,hook_hidden,2,2.9512395411267667,300.0,0.0,0.06735879896254987,0.0,0.044067321668426564
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,2,logits,0,1.2064310181847748,300.0,0.0,0.06719401132513456,0.0,0.047783574029432195
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,2,logits,1,1.2213603096106123,300.0,0.0,0.05970817499479159,0.0,0.0389265896486415
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,4,2,logits,2,1.2213603096106123,300.0,0.0,0.06791163207058633,0.0,0.043038255463603535
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,0,operands,0,17.49561036663066,300.0,0.0,0.06433550303779136,0.0,0.04645785409073954
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,0,operands,1,17.49561036663066,300.0,0.0,0.06180051854784058,0.0,0.034605327803719284
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,0,operands,2,17.49561036663066,300.0,0.0,0.06051491557194548,0.0,0.037998575607480205
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,1,hook_hidden,0,2.7023772991668777,300.0,0.0,0.03452149538513179,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,1,hook_hidden,1,2.7023772991668777,300.0,0.0,0.044856075657121776,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,1,hook_hidden,2,2.7023772991668777,300.0,0.0,0.027972676684467627,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,2,logits,0,1.1842160683219756,300.0,0.0,0.027388533923790957,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,2,logits,1,1.1842160683219756,300.0,0.0,0.030057862300348428,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,init,0,2,2,logits,2,1.1842160683219756,300.0,0.0,0.03146834779507668,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,before,11692,8,0,operands,0,4.74295839939573,300.0,0.0,0.10369439244578471,0.0,0.07346468227802702
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,13200,before,11692,8,0,operands,1,4.68771278459488,300.0,0.0,0.0844998466644239,0.0,0.061959060799883524
