window,task,feature_set,n_features,n_folds,score_mean,score_std,n_compressed,increment_over_baselines,variant,n_runs,n_groups,target_range
w500,regression,topology,12,5,-0.5155372740868727,1.2789734302005715,0,,holdout,88.0,20.0,2.2218487496163566
w500,regression,baselines,32,5,-2.0147781539548406,3.579798153963805,0,,holdout,88.0,20.0,2.2218487496163566
w500,regression,baselines+topology,44,5,-1.3787747115631195,2.2651105222902306,0,0.6360034423917211,holdout,88.0,20.0,2.2218487496163566
w500,regression,topology_vector,656,5,-0.8819811182354922,0.9593113761239387,656,,holdout,88.0,20.0,2.2218487496163566
w500,regression,baselines+topology_vector,688,5,-1.555075403333183,2.0488025291802163,656,,holdout,88.0,20.0,2.2218487496163566
w500,regression,topology_vector_permuted,656,5,-1.74338452198339,2.152323297488832,656,,holdout,88.0,20.0,2.2218487496163566
w500,regression,weight_norm,2,5,-0.5601357842318635,0.621576345087192,0,,winsorised,91.0,21.0,2.374748346010104
w500,regression,lid,2,5,-0.20920210860625135,0.5917070562178086,0,,winsorised,91.0,21.0,2.374748346010104
w500,regression,fourier,28,5,-0.2526373050753484,0.4490927503900533,0,,winsorised,91.0,21.0,2.374748346010104
w500,regression,topology,12,5,-0.4005584263739598,0.5922466499115993,0,,winsorised,91.0,21.0,2.374748346010104
w500,regression,baselines,32,5,-0.18719622926887391,0.4203999339525652,0,,winsorised,91.0,21.0,2.374748346010104
w500,regression,baselines+topology,44,5,-0.882055760237213,1.6603061299232298,0,-0.6948595309683391,winsorised,91.0,21.0,2.374748346010104
w500,regression,topology_vector,656,5,-0.7501378271268038,0.753969710717402,656,,winsorised,91.0,21.0,2.374748346010104
w500,regression,baselines+topology_vector,688,5,-0.5995440460780556,0.8141510930286104,656,,winsorised,91.0,21.0,2.374748346010104
w500,regression,topology_vector_permuted,656,5,-0.7156434386475655,0.9261929209147435,656,,winsorised,91.0,21.0,2.374748346010104
w5000,classification,weight_norm,2,5,0.5391030668677728,0.2846440638555953,0,,full,,,
w5000,classification,lid,2,5,0.7142884196413608,0.12609384519786412,0,,full,,,
w5000,classification,fourier,28,5,0.7265171778112955,0.18526191608191903,0,,full,,,
w5000,classification,topology,12,5,0.8536956594603653,0.06622517546619294,0,,full,,,
w5000,classification,baselines,32,5,0.7811075917546506,0.13853749835200882,0,,full,,,
w5000,classification,baselines+topology,44,5,0.8065424836601306,0.12505181189443126,0,0.025434891905479984,full,,,
w5000,classification,topology_vector,656,5,0.8005460030165914,0.14739534136556912,656,,full,,,
