run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
transformer_add149_f0.3_wd1.0_softmax_ce_s2,6800.0,4,127,6,0.7722425139392878,1.4135293243965976,1.4363701000756621,2.5207648393621627,0.5480653305229779,0.845858675504348,0.7722425139392878,1.4135293243965976,1.4363701000756621,2.5207648393621627,0.5480653305229779,0.845858675504348
transformer_add149_f0.3_wd1.0_softmax_ce_s3,9800.0,0,127,0,0.8543907469303205,1.7504975931748121,1.1766256140379059,2.270890056793438,0.7978851271530305,1.1706355870253813,,,,,,
transformer_add149_f0.3_wd1.0_softmax_ce_s4,9800.0,2,127,5,1.086603602896041,3.597159101658824,1.52896512006388,5.558949510149526,0.6557174976969783,1.1103409797995314,1.086603602896041,3.597159101658824,1.52896512006388,5.558949510149526,0.6557174976969783,1.1103409797995314
transformer_add97_f0.2_wd1.0_softmax_ce_s0,,1,127,0,0.7438535380975861,0.4798153689127386,0.92780028666774,0.6045835689806643,0.8579315514341318,0.8426117810480805,,,,,,
transformer_add97_f0.2_wd1.0_softmax_ce_s1,,3,127,2,0.9915758908450748,1.1374379632100664,0.966607280316229,1.1236059014144046,1.068979703204562,0.9984292320671683,0.9915758908450748,1.1374379632100664,0.966607280316229,1.1236059014144046,1.068979703204562,0.9984292320671683
transformer_add97_f0.2_wd1.0_softmax_ce_s2,,2,127,2,1.135834379479461,0.923703783707839,1.115451808891002,0.9640445445744122,1.0193595082240112,1.057814876814724,1.135834379479461,0.923703783707839,1.115451808891002,0.9640445445744122,1.0193595082240112,1.057814876814724
transformer_add97_f0.2_wd1.0_softmax_ce_s3,,0,127,0,0.9107415473124049,0.8972295861584968,0.9692081661671639,0.9149013639445701,0.9533695182726772,0.9578376711641383,,,,,,
transformer_add97_f0.2_wd1.0_softmax_ce_s4,,0,127,0,0.8250240833352482,0.5005267327279349,0.8935742588860289,0.5155876463727666,0.927936413261886,0.9795890461869722,,,,,,
transformer_add97_f0.2_wd1.0_traj_s0,,1,127,1,1.2448916296691526,1.1000417207627131,1.2098650239503883,1.0621443622842168,1.1323183252288893,1.0280149175603999,1.2448916296691526,1.1000417207627131,1.2098650239503883,1.0621443622842168,1.1323183252288893,1.0280149175603999
transformer_add97_f0.2_wd1.0_traj_s1,,1,127,1,1.0480848733844599,1.0177835475818928,1.005174733906358,1.0534336217957725,1.0165854263269747,1.0550491191379403,1.0480848733844599,1.0177835475818928,1.005174733906358,1.0534336217957725,1.0165854263269747,1.0550491191379403
transformer_add97_f0.2_wd1.0_traj_s2,,2,127,2,0.895964074638041,0.9082765676543241,0.8661230052552901,0.8745927824907733,1.0448543859289243,1.079129447248388,0.895964074638041,0.9082765676543241,0.8661230052552901,0.8745927824907733,1.0448543859289243,1.079129447248388
transformer_add97_f0.2_wd1.0_traj_s3,,1,127,0,1.0045728793481543,0.9063645452553425,0.9332319645570762,0.8855808679455793,1.0145504461069155,1.0085159314943997,,,,,,
transformer_add97_f0.2_wd1.0_traj_s4,,1,127,2,1.0116619723275058,0.9724335345653485,1.0795778941609302,1.0148539494511462,0.974375927693455,0.9259674862655758,1.0116619723275058,0.9724335345653485,1.0795778941609302,1.0148539494511462,0.974375927693455,0.9259674862655758
transformer_add97_f0.3_wd0.0_stablemax_ce_s0,,0,126,0,0.9749137906390979,0.9916649709974725,0.9663372976807039,0.9828479895307201,1.0091392372451016,1.015163709205196,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_ce_s1,,0,126,0,1.0727242068984337,0.9370409642838793,1.0601618024112385,0.9260737950837871,1.0095173145946588,1.0109613487581375,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_ce_s2,,0,126,0,1.0074637416445085,0.9663877744551702,0.9966845587139486,0.9560478393119821,1.0104711859994184,1.0098774227362404,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,,0,126,0,1.074511794616884,0.9734775925615613,1.061827410012064,0.9619886178243952,1.009442375674064,0.9983526123976182,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,,0,126,0,1.0098249022559285,1.0125394115749091,1.0038253859721895,1.0061798950314274,1.0112255209137648,0.9781216127093357,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_traj_s0,,0,126,0,,,,,,,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_traj_s1,,0,126,0,1.0169509295354493,0.9761593609022753,1.008811438102377,0.9683499205706738,1.0094408023158368,1.0154693320627002,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_traj_s2,,0,126,0,,,,,,,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_traj_s3,,0,126,0,1.074511794616884,0.9734775925615613,1.061827410012064,0.9619886178243952,1.009442375674064,0.9983526123976177,,,,,,
transformer_add97_f0.3_wd0.0_stablemax_traj_s4,,0,126,0,,,,,,,,,,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s0,,4,130,0,0.5053800187026881,0.3649358022174332,0.9338268833136396,0.6813786082316696,0.5317307312955049,0.8832722015368456,,,,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s1,142200.0,2,130,0,1.087929525760877,1.2217851555577832,0.9532905253824766,1.0922525007494643,1.1704933338865855,1.2616405972408726,,,,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s2,137000.0,3,130,0,0.681621324823345,0.8562917640226863,0.8244282656069507,1.0387028950753365,0.8182401206766348,1.2264024170555807,,,,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s3,,3,130,0,1.071554838788996,1.3552120971812542,0.9973068182555306,1.1390585755502765,1.0973696357833203,1.0464501069275165,,,,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s4,140100.0,2,130,0,0.9368835674579562,1.6633180922230009,0.8613201047402105,1.5912637079479128,1.1262147475122493,1.2250547390243012,,,,,,
transformer_add97_f0.3_wd0.1_traj_s0,,4,130,0,0.5053800187026881,0.3649358022174332,0.9338268833136396,0.6813786082316696,0.5317307312955049,0.8832722015368466,,,,,,
