window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range
w5000,regression,weight_norm,2,5,-0.38925032452535246,0.3545468483277052,,winsorised,62,16,True,1.374748346010104
w5000,regression,lid,2,5,-0.08946470135313327,0.11394005445847045,,winsorised,62,16,True,1.374748346010104
w5000,regression,fourier,28,5,-2.9352678096615232,4.293560582317971,,winsorised,62,16,True,1.374748346010104
w5000,regression,topology,12,5,-0.4677486053642307,0.20318955957804305,,winsorised,62,16,True,1.374748346010104
w5000,regression,baselines,32,5,-2.6479685546578957,3.8975454048003435,,winsorised,62,16,True,1.374748346010104
w5000,regression,baselines+topology,44,5,-2.460412140320316,3.4881570319357453,0.18755641433757964,winsorised,62,16,True,1.374748346010104
w5000,classification,weight_norm,2,5,0.5981852234071017,0.2691630242597205,,full,128,31,False,
w5000,classification,lid,2,5,0.6911579602601275,0.15132349352545177,,full,128,31,False,
w5000,classification,fourier,28,5,0.8485138772858072,0.1289398526859521,,full,128,31,False,
w5000,classification,topology,12,5,0.8148156338558816,0.14577897418132746,,full,128,31,False,
w5000,classification,baselines,32,5,0.8287642581399031,0.14563027635905856,,full,128,31,False,
w5000,classification,baselines+topology,44,5,0.8152996598249438,0.12138935053480755,-0.013464598314959275,full,128,31,False,
w5000,regression,weight_norm,2,5,-0.27366973995711225,0.45012550207989194,,full,83,21,False,2.4539295920577286
w5000,regression,lid,2,5,-0.21329899383219733,0.3862843150709467,,full,83,21,False,2.4539295920577286
w5000,regression,fourier,28,5,0.32863939828991284,0.2533273305748498,,full,83,21,False,2.4539295920577286
w5000,regression,topology,12,5,-0.030414205060522594,0.6515630899313306,,full,83,21,False,2.4539295920577286
w5000,regression,baselines,32,5,0.08492319900739827,0.3493867757456593,,full,83,21,False,2.4539295920577286
w5000,regression,baselines+topology,44,5,0.06987728447703545,0.5138503319713358,-0.015045914530362817,full,83,21,False,2.4539295920577286
w5000,regression,weight_norm,2,5,-0.34050942354764724,0.45573792962712023,,holdout,80,20,False,2.3010299956639813
w5000,regression,lid,2,5,-0.22690815547568058,0.38518736558531286,,holdout,80,20,False,2.3010299956639813
w5000,regression,fourier,28,5,-0.7333659952703939,0.7961060797758487,,holdout,80,20,False,2.3010299956639813
w5000,regression,topology,12,5,-0.005474977588387953,0.3715299060545379,,holdout,80,20,False,2.3010299956639813
w5000,regression,baselines,32,5,-2.265283679853343,4.109192931465987,,holdout,80,20,False,2.3010299956639813
w5000,regression,baselines+topology,44,5,-0.565033131940166,1.1832080591568923,1.700250547913177,holdout,80,20,False,2.3010299956639813
w5000,regression,weight_norm,2,5,-0.29007365793307777,0.47656879404493613,,winsorised,83,21,False,2.4539295920577286
