run,kind,landmarks,n_snapshots,t_g,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,t_top,lead_lag_steps,scale_collapse,condition,is_null
transformer_add113_f0.3_wd0.1_softmax_ce_s0,hidden,113,120,13000.0,0.0653615841209269,0.1495645438297186,2.2882637537212376,1.2274513244628906,2.559898376464844,2.0855396262536168,12101.0,899.0,0.2088266239783478,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s1,hidden,113,120,12000.0,0.0786648124421965,0.1593212369327925,2.025317699064788,1.4457778930664062,2.450560569763184,1.6949772032865262,12605.0,-605.0,0.2140493393363568,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s2,hidden,113,120,14000.0,0.0762979597120668,0.1673991988186987,2.1940193348607164,1.3574542999267578,2.611454486846924,1.9237881429878163,14622.0,-622.0,0.218025158839467,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s3,hidden,113,120,11500.0,0.0699060790327786,0.1458324423348818,2.086119610091443,1.3152809143066406,2.703688621520996,2.0555978514645017,11597.0,-97.0,0.219394627850863,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s4,hidden,113,120,10500.0,0.0717040965474594,0.1547561089086002,2.158260355545662,1.3636102676391602,2.46573543548584,1.8082405904399692,11092.0,-592.0,0.2778592938821838,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s0,hidden,300,120,13000.0,0.0793504806515055,0.1887388271015284,2.378546740383827,1.4260826110839844,2.9443483352661133,2.064640794566645,13109.0,-109.0,0.2035706020604241,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s1,hidden,300,120,12000.0,0.0897789051947459,0.1948016219220234,2.169792798202041,1.550865650177002,2.7605514526367188,1.7800068318758973,12605.0,-605.0,0.1938179707871036,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s2,hidden,300,120,14000.0,0.0905831275879266,0.2055105606356735,2.2687509926855856,1.5992660522460938,2.8730154037475586,1.7964586941069274,14118.0,-118.0,0.2044408190083339,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s3,hidden,300,120,11500.0,0.0817010194496242,0.1859528464698397,2.276016232386131,1.5002193450927734,3.081414699554444,2.0539761133155423,11597.0,-97.0,0.2014915188700166,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s4,hidden,300,120,10500.0,0.0908792541753696,0.1897967295777947,2.08844946297143,1.6635208129882812,2.75349235534668,1.6552196605225622,11092.0,-592.0,0.2730102410637223,transformer add113 f0.3 wd0.1 lr0.003,False
