run,condition,n_draws,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,1,47000,1.09026259153087,0.08278977214482748,0.8955881379692991,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,1,46000,1.1441782720550415,0.12601032162242082,0.9157571693012472,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,4,50000,1.110448516330682,0.09946297798266536,0.9747837038599921,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,4,49000,1.1336057849216796,0.11785912413186078,0.9598091486012942,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,4,48000,1.1215179869744618,0.10835134914089325,0.9300341226197582,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,4,47000,1.100097442606312,0.09098961485553916,0.9386657076791278,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,4,46000,1.120981604104689,0.10792470069240355,0.9338278826392518,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,8,50000,1.1099378092605723,0.09904862087166091,0.9653294019835752,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,8,49000,1.1292052508499908,0.11442140456992533,0.9748429818204212,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,8,48000,1.114309239493619,0.10258304915928446,0.9723389141925143,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,8,47000,1.0979870269914787,0.08924242689821799,0.9789900317335649,8.0
transformer_add113_f0.3_wd1.0_dense_s3,transformer_add113_f0.3_wd1.0_dense,8,46000,1.1153727191733225,0.10343871352603377,0.9439466772545168,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,1,50000,1.1204651064257953,0.1075134832266847,0.9009956671711905,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,1,49000,1.1311019339480124,0.11590638298213538,0.9301837486980388,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,1,48000,1.1015165469497863,0.09216070991479526,0.9279816773276657,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,1,47000,1.091976679208158,0.08422952702145105,0.9180119070839328,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,1,46000,1.0932353334795453,0.08528386398086515,0.8844016362286288,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,4,50000,1.1265060186818245,0.11229946097390146,0.9399537834029132,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,4,49000,1.1570670536329624,0.1357458525327488,0.9068615325122142,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,4,48000,1.1292228876324462,0.1144352359908128,0.9296763791404175,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,4,47000,1.0979684189996246,0.08922699169151435,0.9369220644955334,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,4,46000,1.1050649165776603,0.09507578695289866,0.9346407262944757,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,8,50000,1.1150257422296135,0.10315971898514842,0.9588210030255275,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,8,49000,1.1376735063527845,0.12101319542383097,0.9223118109065112,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,8,48000,1.1135569328497328,0.10197676427654793,0.9330404591820014,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,8,47000,1.0942809750060738,0.08615792210547242,0.9743018409976312,8.0
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,8,46000,1.0983774175736019,0.0895661327332503,0.9301529712977297,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,1,50000,1.1320629178893247,0.11665687110001759,0.9605562666940157,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,1,49000,1.1046131857743235,0.09470571881775137,0.9013016685321675,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,1,48000,1.0919867252849407,0.08423795194116285,0.9269484740034619,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,1,47000,1.0975758392319233,0.08890122736320996,0.9755137767948389,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,1,46000,1.1055133396504089,0.09544284620190556,0.8906270356125476,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,4,50000,1.139522499339736,0.12243944232832454,0.9568367353075342,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,4,49000,1.1302372926441757,0.11523004371894967,0.8942521967508021,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,4,48000,1.0939985869844706,0.08592203692289123,0.9310203375507625,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,4,47000,1.1125497379647902,0.10116378092963253,0.9563282788105403,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,4,46000,1.1126771065648584,0.10126667107650286,0.9273731298618593,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,8,50000,1.1286211481264703,0.11396308525671657,0.9417208500550623,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,8,49000,1.1196935215922144,0.10689846755745186,0.9392185850030645,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,8,48000,1.091223475693748,0.08359742777321795,0.9763248199836446,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,8,47000,1.10852979003495,0.09790426113088792,0.9803104209162278,8.0
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,8,46000,1.1054447868884687,0.09538675123274819,0.9623085414464738,8.0
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,1,50000,1.1286709867000035,0.11400220987004422,0.8925330410807643,8.0
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,1,49000,1.1254656084840744,0.1114788470996177,0.9130224012716482,8.0
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,1,48000,1.0998413880089983,0.09077798771488078,0.9007783927509543,8.0
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,1,47000,1.0709441226978664,0.066244467096143,0.9531530275738579,8.0
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,1,46000,1.1119275684623966,0.10066084485806313,0.9060599841160515,8.0
