run,t_g,grokked,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,dominance__baseline,dominance__plateau,share__baseline,share__plateau,n_bars__baseline,n_bars__plateau,dominance__ratio,share__ratio
transformer_add97_f0.4_wd0.0_stablemax_ce_s1,,False,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,,,,,0.0,0.0,,
transformer_add97_f0.4_wd0.0_stablemax_ce_s2,,False,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,,,,,0.0,0.0,,
transformer_add97_f0.4_wd0.0_stablemax_ce_s3,38100.0,True,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1.6221724538178826,1.4601049788645848,0.040619373247020404,0.025068703591136703,78.0,116.0,0.900092327069257,0.6171612604331751
transformer_add97_f0.4_wd0.0_stablemax_ce_s4,,False,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,,,,,0.0,0.0,,
transformer_add97_f0.4_wd1.0_softmax_ce_s0,11600.0,True,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,1.697146737021166,1.6243803486454689,0.034116205571993304,0.00983961170247371,98.5,327.5,0.9571242799527065,0.2884145976231087
transformer_add97_f0.4_wd1.0_softmax_ce_s1,9400.0,True,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,1.8286126101357465,1.5778772062547206,0.04773180102976035,0.0178879482033249,85.5,188.0,0.8628821640563812,0.3747595485067057
transformer_add97_f0.4_wd1.0_softmax_ce_s2,4900.0,True,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,1.6617188581515416,1.567531176113385,0.02749760183177589,0.01677280083813103,123.5,188.5,0.9433191231018893,0.6099732238739667
transformer_add97_f0.4_wd1.0_softmax_ce_s3,8800.0,True,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,1.6851656684405563,1.5560920719335045,0.028599524812167376,0.019404017500312867,117.5,169.5,0.9234059897348278,0.6784734231688222
transformer_add97_f0.4_wd1.0_softmax_ce_s4,6100.0,True,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,1.604809628137437,1.611826008044586,0.027914641713438198,0.016952946574384314,124.0,189.0,1.004372094847968,0.6073137799301616
transformer_add97_f0.5_wd1.0_softmax_ce_s0,2900.0,True,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,1.9296309790889694,1.6593135836149984,0.041843747851919785,0.023906810931591492,84.0,145.0,0.8599123882217132,0.5713353167167279
transformer_add97_f0.5_wd1.0_softmax_ce_s1,3500.0,True,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,1.6538714911371235,1.6519702186675849,0.041187979936107504,0.02298028966986381,80.0,153.5,0.9988504110024707,0.5579367986852423
transformer_add97_f0.5_wd1.0_softmax_ce_s2,2400.0,True,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,1.8694049985208068,1.6169791409887464,0.045651092248859194,0.013578079910726635,84.0,232.0,0.8649699461958239,0.2974316547938882
transformer_add97_f0.5_wd1.0_softmax_ce_s3,3000.0,True,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,1.640274789063194,1.637828086445464,0.03328643598548583,0.020366329201948224,102.5,162.5,0.9985083580909468,0.611850701313554
transformer_add97_f0.5_wd1.0_softmax_ce_s4,3600.0,True,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,1.579453458577817,1.59641312275537,0.02650536554499814,0.01813774754462625,117.5,179.5,1.0107376789644842,0.6843047500640506
transformer_add97_permuted_s0,,False,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,1.752594448884504,1.7718475570867183,0.04851575285108674,0.04715726947325849,74.0,70.5,1.0109854896633208,0.9719991281595083
transformer_add97_permuted_s1,,False,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,1.6075414499516716,1.8169852944743468,0.060946000654637275,0.07362908620168719,56.0,48.5,1.130288301137723,1.208103655872699
transformer_add97_permuted_s2,,False,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,1.6579795834100222,1.783478829170036,0.07771695568921544,0.060641096163992825,39.5,55.0,1.0756940839415499,0.7802814151199159
transformer_add97_permuted_s3,,False,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,1.6732338519727303,1.5173807835439401,0.07117519658135196,0.0532904761042844,49.5,56.5,0.9068551785244838,0.7487225699949328
