run,condition,t_g,window,projection_dim,projection_seed,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,27980,1.193556380523132,0.16216777328800908,0.7714505425790105,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,28980,1.1617069336717623,0.1391977003706618,0.7442000973851719,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,29980,1.2504827000518453,0.2003088087835683,0.8120361755849247,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,30980,1.1469681597490058,0.12813621590085572,0.6139818270289958,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,31980,1.2258932409754444,0.18426828162923956,0.8279799433903424,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,32980,1.0523440532190138,0.04974043713070692,0.19842294254819437,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,33980,1.2252671306393084,0.18385144349850524,0.720697848567438,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,34980,1.1888313653877889,0.1588378056682525,0.8500605307621103,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,35980,1.1608836011717103,0.13858719427970745,0.46050452689965604,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,36980,1.1820517623024474,0.15401335889710938,0.9037199137762508,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,37980,1.0942427503346126,0.0861259992865328,0.33157096858165547,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,38980,1.269261139073884,0.21214006384088174,0.6744577393146587,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,39980,1.1682306876023902,0.14400468108542608,0.6339433281936135,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,40980,1.1550136026532813,0.13420933077946984,0.577007129106835,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,41980,1.1509927420897654,0.1311847908055614,0.6693109531250532,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,42980,1.1605784661106815,0.13836071476391465,0.6162755446660793,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,43980,1.0553692605767984,0.052464348399286306,0.23199777095099805,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,44980,1.1136231398472631,0.10203015345285198,0.3979962009886956,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,45980,1.1405530010395761,0.12323232757396345,0.6857264057076895,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,46980,1.1028976202868273,0.09329752680041785,0.5731502313519599,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,47980,1.1540084527840853,0.13345522072436697,0.5475768008249188,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,48980,1.0280937002787347,0.02732601150179017,0.06546646824327729,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,49980,1.2484718140111881,0.19902076380313183,0.7395899199270404,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,50980,1.1698834847129556,0.14521402082587612,0.7556288239215214,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,51980,1.0685004691475368,0.06410897432940509,0.22136241107191157,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,52980,1.3298619481365463,0.2480422487452638,0.8757998978842142,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,53980,1.1534900376319848,0.13306576790822283,0.755853548390917,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,54980,1.1878088478959332,0.15811369668496325,0.899715618346652,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,55980,1.1039038488237896,0.09412400267876522,0.4329455392740027,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,56980,1.2184818227159973,0.17930659172986357,0.7674949721587776,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,57980,1.132201170207097,0.11676473553097928,0.7273573545914842,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,58980,1.159723759079913,0.13772569357950604,0.7171954599720347,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,59980,1.4536284305629426,0.3120662894487191,0.40331057174069795,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,1980,1.4756762855974905,0.3223446024308053,0.8977740695778844,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,2980,1.2798991248929583,0.21868842586822387,0.9284698232194335,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,3980,1.2760450961743024,0.21632863681848732,0.9478710688448017,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,4980,1.160824585681638,0.1385434006699656,0.5788227597135,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,5980,1.345772578695023,0.25693240014617774,0.7938720261560315,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,6980,1.2648255715011951,0.20937714849240374,0.6434750730162673,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,7980,1.2647849553445472,0.2093517591474004,0.7548855564956362,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,8980,1.5211975489127425,0.3426231847962562,0.7480733845481298,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,9980,1.4083020249161784,0.2899250428475955,0.8614016045327217,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,10980,1.3311603465318531,0.24877569963276316,0.680321149803315,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,11980,1.2905390276832895,0.22512998169830672,0.8173812314528787,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,12980,1.2767796866346004,0.21677951923260164,0.7840655990181338,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,13980,1.1302908758064938,0.11527198758773284,0.6950950194661927,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,14980,1.3863669015135391,0.2786902234118043,0.4593364367680248,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,15980,1.2248553489275587,0.18357706411980346,0.7361593728839312,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,16980,1.1546418896578179,0.1339306074402397,0.7230712455733744,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,17980,1.1344635173887059,0.11852608332281359,0.4499838405311536,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,18980,1.0992973567747848,0.09032802286190517,0.5837995817628225,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,19980,1.1397293829622455,0.12259873707833857,0.6576174138515565,8.0
