run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,scale_collapse,in_window_drift
transformer_poly97_f0.5_wd0.3_softmax_ce_s1,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,0.3,84.79203701957603,0.996044141547952
transformer_poly97_f0.5_wd1.0_softmax_ce_s0,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,113.36032261226909,1.0212259775627004
transformer_poly97_f0.5_wd1.0_softmax_ce_s1,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,126.8311074692284,0.8546302136803334
transformer_poly97_f0.5_wd1.0_softmax_ce_s2,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,105.82444150931362,0.9822765596039982
transformer_poly97_f0.5_wd1.0_softmax_ce_s3,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,101.86953527132397,1.0480682829178127
transformer_poly97_f0.5_wd1.0_softmax_ce_s4,transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,94.32208487521258,1.1137570462934476
transformer_poly97_f0.7_wd0.3_softmax_ce_s0,transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,0.3,101.62814800091594,0.8791887545578796
transformer_poly97_f0.7_wd0.3_softmax_ce_s1,transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,0.3,87.1641189471433,0.9840884036571409
transformer_poly97_f0.7_wd1.0_softmax_ce_s0,transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,1.0,113.5633534856566,1.1304509938387006
transformer_poly97_f0.7_wd1.0_softmax_ce_s1,transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,1.0,131.9221508976193,0.7157500836484215
transformer_sub97_f0.3_wd1.0_softmax_ce_s0,transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,106.19651236736465,1.246301955857464
transformer_sub97_f0.3_wd1.0_softmax_ce_s1,transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,122.51221470374001,1.0252300252291227
transformer_sub97_f0.3_wd1.0_softmax_ce_s2,transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,115.21193647510563,0.9953676989636885
transformer_sub97_f0.3_wd1.0_softmax_ce_s3,transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,128.1769857508691,0.9706695836180084
transformer_sub97_f0.3_wd1.0_softmax_ce_s4,transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,136.6216741146514,1.0153777706979747
transformer_sub97_f0.4_wd1.0_softmax_ce_s0,transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,179.48126362016055,0.5153589972336434
transformer_sub97_f0.4_wd1.0_softmax_ce_s1,transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,179.53769335481215,0.7434607865738245
transformer_sub97_f0.5_wd1.0_softmax_ce_s0,transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,177.08482990010853,0.5149946597913801
transformer_sub97_f0.5_wd1.0_softmax_ce_s1,transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,171.24967854347986,0.5497999818509439
