run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52121,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52727,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52727,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,53333,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,53333,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,53939,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,53939,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,54545,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,54545,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,55152,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,55152,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,55758,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,55758,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,56364,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,56364,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,56970,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,56970,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,57576,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,57576,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,58182,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,58182,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,58788,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,58788,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,59394,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,59394,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,60000,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,60000,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,0,add,6577,0.007906340062618256
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,0,sub,6596,0.010612492449581623
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,606,add,6577,0.0007602250552736223
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,606,sub,6596,0.0016676774248480797
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,1212,add,6577,0.0021286301780492067
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,1212,sub,6596,0.002880533691495657
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,1818,add,6577,0.0036490801721811295
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,1818,sub,6596,0.004093389958143234
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,2424,add,6577,0.0063858903013169765
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,2424,sub,6596,0.006822316441684961
