panel,run,step,gap,distance,rate,t_g
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,31261,505,4.9403350162894935,0.009782841616414838,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,31765,504,3.1054596957897522,0.006161626380535223,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,32269,504,6.629503243364052,0.013153776276515976,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,32773,504,1.8032211321106129,0.0035778197065686763,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,33277,504,4.404085216287892,0.00873826431803153,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,33782,505,1.2982466799557402,0.002570785504862852,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,34286,504,4.041576267543667,0.00801900053084061,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,34790,504,2.9318443279057997,0.005817151444257539,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,35294,504,4.245921904358899,0.008424448222934323,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,35798,504,2.852926495181151,0.005660568442819744,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,36303,505,2.322644130697252,0.00459929530831139,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,36807,504,7.200836717894894,0.014287374440267647,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,37311,504,3.686353267693642,0.007314192991455639,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,37815,504,4.524183122018619,0.008976553813529006,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,38319,504,2.769157846872493,0.005494360807286693,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,38824,505,4.284559419510475,0.008484276078238564,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,39328,504,1.8767860940095447,0.0037237819325586204,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,39832,504,4.883610541817279,0.009689703455986664,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,40336,504,2.1558725090006043,0.004277524819445644,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,40840,504,4.052166424799794,0.00804001274761864,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,41345,505,2.1823949647728935,0.004321574187669096,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,41849,504,2.5410434972600524,0.005041752970754073,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,42353,504,2.088951901421426,0.004144745836153623,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,42857,504,1.555002315330831,0.0030853220542278394,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,43361,504,4.256134937160772,0.008444712176906295,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,43866,505,6.046528776681696,0.011973324310260785,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,44370,504,1.7835447661909065,0.0035387792979978305,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,44874,504,5.554245552450334,0.011020328477083997,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,45378,504,1.4337227257051812,0.0028446879478277406,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,45882,504,3.2365725000032275,0.006421770833339737,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,46387,505,2.6518915359411483,0.005251270368200294,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,46891,504,3.1252213920467664,0.006200836095330886,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,47395,504,4.517101833197994,0.008962503637297607,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,47899,504,4.126743041499914,0.008187982225198242,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,48403,504,0.9424940847993223,0.0018700279460304014,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,48908,505,1.1580321158138052,0.0022931329026015944,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,49412,504,1.719587766835385,0.003411880489752748,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,49916,504,2.1240456898141282,0.004214376368678826,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,50420,504,1.5598308114747215,0.0030949024037196854,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,50924,504,4.938159799244674,0.009797936109612448,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,51429,505,2.5385950802290664,0.005026920950948646,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,51933,504,3.7457693566250034,0.0074320820567956416,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,52437,504,1.6337354048109463,0.0032415385016090204,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,52941,504,4.714458433055576,0.009354084192570587,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,53445,504,4.336011991659034,0.008603198396148877,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,53950,505,5.759073475417736,0.01140410589191631,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,54454,504,1.3116907413091587,0.002602560994661029,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,54958,504,2.457534812590156,0.004876061136091579,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,55462,504,0.8537269328961259,0.0016939026446351705,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,55966,504,2.5747766446349476,0.005108683818720134,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,56471,505,4.04067112883546,0.00800132896799101,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,56975,504,8.665481573047286,0.017193415819538267,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,57479,504,2.1971971261049004,0.004359518107350992,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,57983,504,2.005007191509553,0.003978188872042764,12000.0
