step,train_acc,test_acc,run,model,loss,optimizer,lr,weight_decay,t_g,diverged
15800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
15900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
16900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17000,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17100,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17200,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17300,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17400,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17500,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17600,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17700,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17800,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
17900,1.0,1.0,mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,stablemax_ce,orthograd_adamw,0.001,0.0,600.0,False
